"","from","to"
"955","17","217"
"956","64","38"
"957","64","217"
"958","52","217"
"959","19","66"
"960","202","217"
"961","40","202"
"962","52","202"
"963","17","202"
"964","40","203"
"965","52","203"
"966","17","203"
"967","66","25"
"968","66","203"
"969","66","202"
"970","208","203"
"971","204","7"
"972","204","52"
"973","204","64"
"974","204","40"
"975","204","17"
"976","204","203"
"977","204","44"
"978","204","14"
"979","204","109"
"980","205","40"
"981","205","88"
"982","209","404"
"983","20","88"
"984","209","88"
"985","404","88"
"986","52","44"
"987","52","109"
"988","52","14"
"989","52","4"
"990","52","3"
"991","52","2"
"992","52","64"
"993","52","40"
"994","52","134"
"995","52","150"
"996","52","17"
"997","298","128"
"998","40","128"
"999","52","128"
"1000","8","128"
"1001","64","4"
"1002","64","3"
"1003","64","2"
"1004","64","40"
"1005","65","76"
"1006","65","3"
"1007","76","391"
"1008","65","391"
"1009","66","2"
"1010","66","67"
"1011","176","53"
"1012","176","118"
"1013","176","3"
"1014","176","14"
"1015","176","65"
"1016","176","1"
"1017","176","4"
"1018","67","69"
"1019","67","2"
"1020","67","101"
"1021","102","175"
"1022","102","101"
"1023","102","63"
"1024","101","1"
"1025","101","102"
"1026","102","8"
"1027","176","75"
"1028","176","102"
"1029","75","102"
"1030","7","75"
"1031","8","102"
"1032","176","7"
"1033","176","8"
"1034","1","75"
"1035","1","102"
"1036","63","75"
"1037","63","102"
"1038","63","176"
"1039","4","75"
"1040","3","102"
"1041","2","176"
"1042","102","17"
"1043","318","298"
"1044","66","301"
"1045","318","301"
"1046","66","14"
"1047","14","301"
"1048","297","54"
"1049","56","297"
"1050","69","100"
"1051","69","70"
"1052","69","71"
"1053","56","54"
"1054","75","3"
"1055","75","2"
"1056","75","8"
"1057","75","76"
"1058","75","118"
"1059","299","164"
"1060","299","301"
"1061","299","315"
"1062","299","389"
"1063","299","261"
"1064","299","29"
"1065","299","387"
"1066","299","3"
"1067","299","2"
"1068","299","8"
"1069","299","7"
"1070","279","29"
"1071","280","29"
"1072","281","29"
"1073","282","29"
"1074","84","270"
"1075","279","280"
"1076","279","281"
"1077","279","282"
"1078","269","270"
"1079","280","281"
"1080","280","282"
"1081","272","270"
"1082","281","282"
"1083","270","271"
"1084","271","330"
"1085","272","330"
"1086","273","330"
"1087","261","87"
"1088","200","87"
"1089","271","272"
"1090","271","273"
"1091","272","273"
"1092","283","93"
"1093","284","93"
"1094","285","93"
"1095","286","93"
"1096","283","284"
"1097","283","285"
"1098","283","286"
"1099","269","63"
"1100","269","7"
"1101","269","8"
"1102","269","1"
"1103","284","285"
"1104","284","286"
"1105","285","286"
"1106","269","72"
"1107","76","118"
"1108","76","72"
"1109","76","8"
"1110","76","75"
"1111","76","88"
"1112","76","75"
"1113","76","20"
"1114","76","1"
"1115","76","4"
"1116","76","3"
"1117","76","2"
"1118","76","7"
"1119","77","4"
"1120","77","3"
"1121","77","2"
"1122","77","7"
"1123","175","390"
"1124","175","391"
"1125","175","15"
"1126","175","102"
"1127","390","391"
"1128","390","15"
"1129","391","102"
"1130","102","15"
"1131","154","4"
"1132","154","3"
"1133","154","10"
"1134","83","4"
"1135","83","3"
"1136","83","2"
"1137","83","9"
"1138","83","44"
"1139","83","10"
"1140","83","154"
"1141","83","14"
"1142","83","46"
"1143","83","22"
"1144","83","23"
"1145","83","82"
"1146","111","44"
"1147","386","44"
"1148","386","111"
"1149","14","111"
"1150","358","52"
"1151","358","1"
"1152","358","4"
"1153","80","4"
"1154","80","3"
"1155","80","2"
"1156","82","107"
"1157","82","44"
"1158","154","44"
"1159","82","23"
"1160","34","23"
"1161","390","391"
"1162","390","29"
"1163","390","15"
"1164","390","7"
"1165","78","7"
"1166","78","63"
"1167","78","83"
"1168","83","52"
"1169","88","7"
"1170","87","88"
"1171","87","1"
"1172","87","209"
"1173","87","2"
"1174","87","85"
"1175","87","86"
"1176","85","86"
"1177","389","88"
"1178","389","209"
"1179","89","4"
"1180","242","4"
"1181","242","243"
"1182","93","352"
"1183","93","228"
"1184","93","67"
"1185","93","43"
"1186","93","44"
"1187","93","100"
"1188","93","4"
"1189","93","3"
"1190","93","2"
"1191","93","44"
"1192","93","109"
"1193","93","14"
"1194","93","108"
"1195","93","226"
"1196","93","227"
"1197","93","99"
"1198","91","94"
"1199","94","95"
"1200","227","226"
"1201","99","227"
"1202","99","226"
"1203","234","235"
"1204","234","236"
"1205","234","237"
"1206","234","238"
"1207","234","239"
"1208","234","67"
"1209","234","4"
"1210","234","3"
"1211","234","2"
"1212","23","108"
"1213","240","93"
"1214","240","44"
"1215","240","14"
"1216","240","129"
"1217","240","93"
"1218","240","23"
"1219","240","109"
"1220","99","240"
"1221","99","129"
"1222","99","93"
"1223","362","128"
"1224","362","14"
"1225","14","23"
"1226","361","326"
"1227","143","136"
"1228","402","136"
"1229","361","136"
"1230","29","362"
"1231","304","392"
"1232","318","142"
"1233","318","359"
"1234","318","34"
"1235","358","29"
"1236","358","136"
"1237","318","136"
"1238","318","358"
"1239","29","318"
"1240","21","318"
"1241","129","99"
"1242","129","240"
"1243","358","258"
"1244","129","93"
"1245","318","388"
"1246","144","129"
"1247","145","129"
"1248","110","43"
"1249","110","10"
"1250","241","14"
"1251","241","362"
"1252","241","98"
"1253","241","93"
"1254","241","132"
"1255","241","110"
"1256","241","109"
"1257","241","45"
"1258","241","108"
"1259","241","2"
"1260","241","114"
"1261","32","249"
"1262","32","357"
"1263","56","357"
"1264","56","356"
"1265","56","32"
"1266","109","114"
"1267","248","162"
"1268","13","14"
"1269","162","41"
"1270","162","43"
"1271","162","38"
"1272","162","109"
"1273","162","10"
"1274","162","44"
"1275","162","23"
"1276","162","19"
"1277","162","93"
"1278","162","161"
"1279","161","14"
"1280","235","236"
"1281","235","237"
"1282","235","238"
"1283","235","239"
"1284","236","237"
"1285","236","238"
"1286","236","239"
"1287","237","238"
"1288","237","239"
"1289","238","239"
"1290","324","360"
"1291","361","360"
"1292","361","29"
"1293","91","234"
"1294","91","235"
"1295","91","236"
"1296","91","237"
"1297","91","238"
"1298","91","239"
"1299","226","55"
"1300","226","57"
"1301","91","99"
"1302","91","226"
"1303","91","227"
"1304","91","93"
"1305","91","228"
"1306","91","95"
"1307","91","229"
"1308","91","54"
"1309","218","223"
"1310","91","223"
"1311","91","224"
"1312","223","87"
"1313","225","91"
"1314","225","224"
"1315","91","218"
"1316","91","2"
"1317","92","168"
"1318","91","90"
"1319","92","90"
"1320","92","91"
"1321","92","7"
"1322","92","95"
"1323","92","96"
"1324","92","97"
"1325","92","8"
"1326","92","17"
"1327","92","98"
"1328","92","99"
"1329","92","233"
"1330","233","1"
"1331","15","17"
"1332","92","232"
"1333","233","232"
"1334","232","53"
"1335","7","232"
"1336","96","54"
"1337","132","114"
"1338","132","117"
"1339","132","115"
"1340","132","3"
"1341","132","4"
"1342","132","2"
"1343","132","122"
"1344","2","167"
"1345","122","4"
"1346","122","3"
"1347","122","2"
"1348","122","126"
"1349","126","67"
"1350","114","71"
"1351","114","69"
"1352","114","310"
"1353","114","131"
"1354","114","3"
"1355","114","2"
"1356","114","115"
"1357","114","122"
"1358","114","4"
"1359","114","126"
"1360","2","126"
"1361","136","360"
"1362","136","3"
"1363","136","2"
